state,sex,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio,year
Kelantan,male,2019-01-01,445.9,431.5,14.4,159.0,73.7,3.2,71.2,2019
Kelantan,male,2020-01-01,407.75964075326937,392.96488978672386,14.794750966545502,163.80535131872085,71.34090548042363,3.628301942589173,68.8,2020
Kelantan,male,2021-01-01,406.06317317087496,392.050407640557,14.012765530317928,171.19892336711217,70.34294744209897,3.450883127591882,67.9,2021
Kelantan,male,2022-01-01,415.6402742769762,401.8959881064589,13.744286170517269,169.51195052044417,71.0311362860956,3.306774396303639,68.7,2022
Melaka,both,2019-01-01,432.9,428.3,4.6,207.6,67.6,1.1,66.9,2019
Melaka,both,2020-01-01,464.9,453.8,11.1,237.0,66.2,2.4,64.7,2020
Melaka,both,2021-01-01,479.6,469.6,10.1,224.9,68.1,2.1,66.6,2021
Melaka,both,2022-01-01,494.6,486.3,8.3,213.7,69.8,1.7,68.8,2022
Melaka,female,2019-01-01,179.4,176.6,2.8,137.6,56.6,1.6,55.6,2019
Melaka,female,2020-01-01,175.6233740191324,170.14572862040225,5.477645398730138,151.91956152717938,53.61842829130434,3.1189728755202046,52.0,2020
Melaka,female,2021-01-01,184.5243353018918,181.2783601350399,3.2459751668519146,144.13354043872314,56.14480860562826,1.759104110328496,55.0,2021
Melaka,female,2022-01-01,192.42408110112515,190.6888189624447,1.7352621386804088,139.27327106840335,58.01194367170539,0.9017905288935596,57.6,2022
Melaka,male,2019-01-01,253.5,251.7,1.8,70.1,78.3,0.7,78.0,2019
Melaka,male,2020-01-01,289.2597902916543,283.65059088767674,5.609199403977566,85.03742216247772,77.280775989509,1.9391562851932973,75.8,2020
Melaka,male,2021-01-01,295.1231861790008,288.3047045630302,6.81848161597062,80.81587663162783,78.50293182426293,2.310384929171581,76.8,2021
Melaka,male,2022-01-01,302.1460284794221,295.6267299263303,6.519298553091783,74.3859042409522,80.24446327738323,2.1576648172080093,78.7,2022
Negeri Sembilan,both,2019-01-01,497.8,482.5,15.4,272.2,64.7,3.1,62.0,2019
Negeri Sembilan,both,2020-01-01,531.3,511.2,20.1,285.5,65.0,3.8,62.6,2020
Negeri Sembilan,both,2021-01-01,526.6,505.6,21.0,292.8,64.3,4.0,61.9,2021
Negeri Sembilan,both,2022-01-01,535.3,517.0,18.3,287.1,65.1,3.4,63.0,2022
Pahang,both,2019-01-01,741.0,719.5,21.4,375.0,66.4,2.9,63.7,2019
Pahang,both,2020-01-01,703.4,681.2,22.2,363.3,65.9,3.2,63.9,2020
Pahang,both,2021-01-01,694.7,672.1,22.6,385.0,64.3,3.3,62.3,2021
Pahang,both,2022-01-01,708.8,692.3,16.5,388.3,64.6,2.3,63.2,2022
Pahang,female,2019-01-01,251.7,243.0,8.7,263.3,48.9,3.5,46.5,2019
Pahang,female,2020-01-01,237.35705342145377,227.94354085276188,9.413512568691862,253.9544619747056,48.310907842260846,3.965971279554574,46.4,2020
Pahang,female,2021-01-01,234.09432534375412,224.83662289395096,9.257702449803167,264.7470979708974,46.92760352343388,3.954688964035656,45.1,2021
Pahang,female,2022-01-01,239.7464365273084,232.413766266159,7.332670261149405,267.9771860549502,47.21987039089677,3.058510636221354,45.9,2022
Pahang,male,2019-01-01,489.2,476.5,12.7,111.7,81.4,2.6,78.3,2019
Pahang,male,2020-01-01,466.012553321208,453.2390596126499,12.773493708558018,109.31775838821028,80.99913107943053,2.7410192316758573,78.8,2020
